Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total
2023-01-28,1301726,316,17307,7
2023-01-29,1302064,338,17316,9
2023-01-30,1302598,534,17321,5
2023-01-31,1303180,582,17323,2
2023-02-01,1303722,542,17327,4
2023-02-02,1304254,532,17331,4
2023-02-03,1304662,408,17339,8
2023-02-04,1304957,295,17346,7
2023-02-05,1305345,388,17354,8
2023-02-06,1305933,588,17360,6
2023-02-07,1306548,615,17368,8
2023-02-08,1307138,590,17375,7
2023-02-09,1307672,534,17380,5
2023-02-10,1308178,506,17387,7
2023-02-11,1308580,402,17396,9
2023-02-12,1308959,379,17405,9
2023-02-13,1309548,589,17413,8
2023-02-14,1310133,585,17423,10
2023-02-15,1310687,554,17431,8
2023-02-16,1311168,481,17439,8
2023-02-17,1311584,416,17446,7
2023-02-18,1311981,397,17452,6
2023-02-19,1312342,361,17456,4
2023-02-20,1312957,615,17464,8
2023-02-21,1313532,575,17467,3
2023-02-22,1314014,482,17474,7
2023-02-23,1314500,486,17481,7
2023-02-24,1314957,457,17483,2
2023-02-25,1315285,328,17494,11
2023-02-26,1315654,369,17496,2
2023-02-27,1316174,520,17502,6
2023-02-28,1316795,621,17510,8
2023-03-01,1317342,547,17514,4
2023-03-02,1317797,455,17519,5
2023-03-03,1318225,428,17523,4
2023-03-04,1318518,293,17530,7
2023-03-05,1318846,328,17537,7
2023-03-06,1319391,545,17541,4
2023-03-07,1319905,514,17547,6
2023-03-08,1320355,450,17554,7
2023-03-09,1320781,426,17564,10
2023-03-10,1321172,391,17575,11
2023-03-11,1321446,274,17581,6
2023-03-12,1321729,283,17589,8
2023-03-13,1322211,482,17594,5
2023-03-14,1322680,469,17595,1
2023-03-15,1323105,425,17602,7
2023-03-16,1323505,400,17609,7
2023-03-17,1323913,408,17615,6
2023-03-18,1324198,285,17623,8
2023-03-19,1324475,277,17625,2
2023-03-20,1324925,450,17629,4
2023-03-21,1325362,437,17635,6
2023-03-22,1325783,421,17635,0
2023-03-23,1326141,358,17640,5
2023-03-24,1326493,352,17644,4
2023-03-25,1326779,286,17648,4
2023-03-26,1327027,248,17650,2
2023-03-27,1327461,434,17659,9
2023-03-28,1327871,410,17664,5
2023-03-29,1328313,442,17668,4
2023-03-30,1328679,366,17674,6
2023-03-31,1329018,339,17681,7
2023-04-01,1329297,279,17686,5
2023-04-02,1329573,276,17689,3
2023-04-03,1329998,425,17696,7
2023-04-04,1330438,440,17701,5
2023-04-05,1330821,383,17703,2
2023-04-06,1331230,409,17709,6
2023-04-07,1331564,334,17718,9
2023-04-08,1331819,255,17721,3
2023-04-09,1332065,246,17727,6
2023-04-10,1332406,341,17731,4
2023-04-11,1332879,473,17736,5
2023-04-12,1333380,501,17741,5
2023-04-13,1333854,474,17744,3
2023-04-14,1334264,410,17747,3
2023-04-15,1334497,233,17750,3
2023-04-16,1334791,294,17759,9
2023-04-17,1335245,454,17762,3
2023-04-18,1335673,428,17768,6
2023-04-19,1336030,357,17772,4
2023-04-20,1336351,321,17778,6
2023-04-21,1336698,347,17781,3
2023-04-22,1336969,271,17784,3
2023-04-23,1337193,224,17789,5
2023-04-24,1337642,449,17796,7
2023-04-25,1337996,354,17799,3
2023-04-26,1338325,329,17802,3
2023-04-27,1338636,311,17812,10
2023-04-28,1338910,274,17815,3
2023-04-29,1339142,232,17816,1
2023-04-30,1339348,206,17818,2
2023-05-01,1339758,410,17824,6
2023-05-02,1340114,356,17828,4
2023-05-03,1340395,281,17832,4
2023-05-04,1340642,247,17836,4
2023-05-05,1340880,238,17836,0
2023-05-06,1341088,208,17842,6
2023-05-07,1341254,166,17844,2
2023-05-08,1341552,298,17850,6
2023-05-09,1341789,237,17852,2
2023-05-10,1342035,246,17853,1
2023-05-11,1342295,260,17854,1
2023-05-12,1342532,237,17856,2
2023-05-13,1342689,157,17859,3
2023-05-14,1342862,173,17861,2
2023-05-15,1343144,282,17863,2
2023-05-16,1343400,256,17864,1
2023-05-17,1343625,225,17868,4
2023-05-18,1343811,186,17870,2
2023-05-19,1344024,213,17873,3
2023-05-20,1344167,143,17876,3
